	symbol	available_exchanges	currency_base	currency_quote
405	BITB/BTC	['YoBit']	Bean Cash	Bitcoin
406	BIT/BTC	['Livecoin']	First Bitcoin	Bitcoin
407	BITB/USD	['Synthetic']	Bean Cash	US Dollar
408	BITCAR/ETH	['IDEX']	BitCar	Ethereum
409	BITCAR/USD	['Synthetic']	BitCar	US Dollar
410	BITOK/ETH	['YoBit']	Bitok	Ethereum
411	BITOK/USD	['Synthetic']	Bitok	US Dollar
412	BITS/BTC	['YoBit']	Bitstar	Bitcoin
413	BITS/USD	['Synthetic']	Bitstar	US Dollar
414	BIT/USD	['Huobi']	First Bitcoin	US Dollar
415	BITZ/BTC	['YoBit']	Bitz	Bitcoin
416	BITZ/USD	['Synthetic']	Bitz	US Dollar
417	BIX/BTC	['Bibox']	Bibox Token	Bitcoin
418	BIX/ETH	['Bibox']	Bibox Token	Ethereum
419	BIX/USD	['Bibox']	Bibox Token	US Dollar
420	BKX/USD	['Synthetic']	BANKEX	US Dollar
421	BLAST/USD	['Bybit']	Blast	US Dollar
